City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
132,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
133,Bengkulu,ID,75.63,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
134,Koppang,NO,71.47,overcast clouds,61.5706,11.0555,Trya Camping
135,Laukaa,RU,74.66,clear sky,58.7372,29.8453,U Lysoy Gory Hotel
136,Basco,PH,85.26,clear sky,20.4487,121.9702,Nathaniel's Lodge
137,Jalu,LY,91.51,clear sky,29.0331,21.5482,صاحبة الفخامة
138,Dicabisagan,PH,80.94,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
139,Buluang,PH,78.06,scattered clouds,13.3068,123.3425,Sacueza Beach Resort
140,Castro,BR,72.68,clear sky,-24.7911,-50.0119,CHACARA BAILLY
141,Midleton,IE,64.65,overcast clouds,51.9153,-8.1805,Midleton Park Hotel
142,Altay,CN,63.39,overcast clouds,47.8667,88.1167,Jinqiao Hotel
143,Mayo,US,95.34,few clouds,38.8876,-76.5119,Resorts Resource Group International
144,Peniche,PT,78.3,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
145,Taman,RU,73.89,clear sky,45.2117,36.7161,Staryy Gorod G. Taman'
146,Kodiak,US,53.11,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
147,Ponta Delgada,PT,74.12,broken clouds,37.7333,-25.6667,Vila Nova Hotel
148,Mafeteng,LS,51.37,scattered clouds,-29.823,27.2374,Catholic Training Center
149,Mahibadhoo,MV,82.8,overcast clouds,3.7833,72.9667,Omadhoo Inn
151,Dezhou,CN,76.75,clear sky,37.4486,116.2925,Zhongtai International Hotel
152,Sao Filipe,CV,75.76,broken clouds,14.8961,-24.4956,Hotel Xaguate
153,Strezhevoy,RU,57.7,overcast clouds,60.7333,77.5889,Sibiryachka
154,Garden City,US,89.02,few clouds,42.3256,-83.331,Big Trees Mobile Home Community
155,Deputatskiy,RU,37.65,clear sky,69.3,139.9,Baza Otdykha
156,Ixtapa,MX,91.22,scattered clouds,20.7,-105.2,hotel la terminal
157,Upernavik,GL,47.25,light rain,72.7868,-56.1549,Café de Upernavik
158,Songjianghe,CN,59.88,overcast clouds,42.1859,127.479,Sijisheng Fashion Guest House
159,Nantucket,US,82.54,mist,41.2835,-70.0995,Jared Coffin House
160,Dhidhdhoo,MV,81.72,overcast clouds,6.8833,73.1,Dhidhoo beach
161,Tasiilaq,GL,42.96,overcast clouds,65.6145,-37.6368,The Red House
162,Hongjiang,CN,76.82,broken clouds,27.11,109.9956,洪江大酒店
163,Gornyy,RU,59.74,light rain,55.1153,83.9059,Gostinyy Dvor
164,Hilo,US,76.28,mist,19.7297,-155.09,Hilo Hawaiian Hotel
165,Teodoro Sampaio,BR,87.78,scattered clouds,-22.5325,-52.1675,Hotel do Senhor
166,Dawlatabad,AF,93.24,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
167,Tazovskiy,RU,44.04,overcast clouds,67.4667,78.7,TazHostel
168,Naze,JP,83.32,broken clouds,28.3667,129.4833,Shishime Hotel
170,Dunedin,NZ,46.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
171,Lompoc,US,67.6,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
172,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
173,Fortuna,US,57.92,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
174,Youghal,IE,64.09,overcast clouds,51.95,-7.8506,Walter Raleigh Hotel
175,Faanui,PF,77.22,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
176,Kautokeino,NO,57.02,overcast clouds,69.0125,23.0412,Thon Hotel Kautokeino
177,Pimentel,PE,64.69,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
178,Akyab,MM,83.01,moderate rain,20.15,92.9,Hotel Memory
179,Farkhor,TJ,93.04,clear sky,37.4922,69.4036,Khonai Abdulkhayrov
180,Dharchula,IN,72.3,overcast clouds,29.85,80.5333,Mahara Hotel
182,North Myrtle Beach,US,90.09,clear sky,33.816,-78.68,Avista Resort
183,Sokoto,NG,87.06,broken clouds,13.0609,5.239,Grand Ibro Hotel
184,Cockburn Town,TC,87.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
186,Aklavik,CA,57.2,shower rain,68.2191,-135.0107,Aklavik Inn
187,Moose Factory,CA,59.0,mist,51.2585,-80.6094,Cree Village Eco Lodge
188,Santiago Del Estero,AR,78.82,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
189,Hearst,CA,62.53,overcast clouds,49.6835,-83.6665,Companion
190,Progreso,MX,91.51,clear sky,21.2833,-89.6667,Playa Linda Hotel
191,Bodden Town,KY,89.6,scattered clouds,19.2833,-81.25,Will T Place
192,Ndola,ZM,66.04,overcast clouds,-12.9587,28.6366,Chabanga Lodge iSpot
194,Durres,AL,86.18,clear sky,41.3231,19.4414,Palace Hotel & Spa Durrës
195,Umtata,ZA,52.36,scattered clouds,-31.5889,28.7844,LLZZ Boutique Lodge
196,Ballina,AU,59.04,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
197,Esfarayen,IR,82.06,clear sky,37.0765,57.5101,دفتر ازدواج 65 : سردفتر ابراهیم برغمدی
198,Melilla,ES,84.4,scattered clouds,35.2937,-2.9383,Hotel Anfora
199,Son La,VN,69.48,overcast clouds,21.3167,103.9,Galaxy Grand Hotel
200,Siderno,IT,85.05,clear sky,38.2779,16.302,Grand Hotel President
201,Tinskoy,RU,59.54,overcast clouds,56.1525,96.9161,"Kemping ""Turist"""
202,Ngunguru,NZ,51.67,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
203,Charlestown,AU,62.73,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
204,Torbay,CA,76.87,broken clouds,47.6666,-52.7314,Gallows Cove
205,Kasane,BW,67.32,broken clouds,-17.8167,25.15,The Old House
206,Zabaykalsk,RU,68.05,few clouds,49.6333,117.3167,Zheleznyy Mir
207,Weiser,US,89.8,clear sky,44.251,-116.9693,The Colonial Motel
208,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
