City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Dawlatabad,AF,36.4141,64.9053,93.24,11,0,1.95,clear sky
167,Tazovskiy,RU,67.4667,78.7,44.04,86,100,3.85,overcast clouds
168,Naze,JP,28.3667,129.4833,83.32,88,78,13.49,broken clouds
169,Nalut,LY,30.3333,10.85,95.22,15,1,11.81,clear sky
170,Dunedin,NZ,-45.8742,170.5036,46.8,81,96,4.0,overcast clouds
171,Lompoc,US,34.6391,-120.4579,67.6,88,100,10.36,overcast clouds
172,Georgetown,MY,5.4112,100.3354,83.89,84,20,0.0,few clouds
173,Fortuna,US,40.5982,-124.1573,57.92,88,83,5.93,broken clouds
174,Youghal,IE,51.95,-7.8506,64.09,65,100,8.46,overcast clouds
175,Faanui,PF,-16.4833,-151.75,77.22,73,19,12.39,few clouds
176,Kautokeino,NO,69.0125,23.0412,57.02,94,100,8.7,overcast clouds
177,Pimentel,PE,-6.8367,-79.9342,64.69,72,100,13.8,overcast clouds
178,Akyab,MM,20.15,92.9,83.01,81,100,3.6,moderate rain
179,Farkhor,TJ,37.4922,69.4036,93.04,15,0,2.71,clear sky
180,Dharchula,IN,29.85,80.5333,72.3,95,100,1.01,overcast clouds
181,Kaka,TM,37.3482,59.6143,95.27,9,0,8.08,clear sky
182,North Myrtle Beach,US,33.816,-78.68,90.09,78,0,17.27,clear sky
183,Sokoto,NG,13.0609,5.239,87.06,48,72,6.91,broken clouds
184,Cockburn Town,TC,21.4612,-71.1419,87.76,62,40,13.8,scattered clouds
185,Luderitz,NA,-26.6481,15.1594,63.25,57,0,9.6,clear sky
186,Aklavik,CA,68.2191,-135.0107,57.2,88,75,4.61,shower rain
187,Moose Factory,CA,51.2585,-80.6094,59.0,100,100,11.5,mist
188,Santiago Del Estero,AR,-27.7951,-64.2615,78.82,44,25,15.14,scattered clouds
189,Hearst,CA,49.6835,-83.6665,62.53,90,100,9.26,overcast clouds
190,Progreso,MX,21.2833,-89.6667,91.51,61,1,12.17,clear sky
191,Bodden Town,KY,19.2833,-81.25,89.6,62,40,11.5,scattered clouds
192,Ndola,ZM,-12.9587,28.6366,66.04,50,93,7.36,overcast clouds
193,Taoudenni,ML,22.6783,-3.9836,107.01,17,41,8.1,scattered clouds
